0:"AcrySof IQ (SN60WF)":118.7
1:"AcrySof Natural (SN60AT\SA60AT":118.4
2:"AcrySof Multipiece (MA60AC)":118.4
3:"AcrySof ASpherica/ReSTOR-Aspherica":118.9
4:"T-26":118.6
5:"Acryfold":118.0
6:"ГрадИОЛ":118.5
7:"GalaxyFold Ultra Smart":118.0
8:"HOYA":118.4
9:"ИОЛ Оптимед":118.2
10:"TFNT00 Acrysof IQ PANOPTIX":118.9
11:"enVista":118.7
12:"Бифокальная МИОЛ-Аккорд":117.0
13:"ИХД (капсула)":119.8
14:"ИХД (цилиарное тело)":119.4
15:"TECNIS IO":118.8
16:"New_IOL":118.7
